ip_address,continent,country,region,city,time_zone,isp,mobile,proxy,answer,date,time,x,y
45.19.199.230,North America,United States,Texas,Austin,America/Chicago,"AT&T Services, Inc.",FALSE,FALSE,yes,7/25/2020,07:56.8,187,95
45.19.199.230,North America,United States,Texas,Austin,America/Chicago,"AT&T Services, Inc.",FALSE,FALSE,yes,7/25/2020,07:59.7,11,68
45.19.199.230,North America,United States,Texas,Austin,America/Chicago,"AT&T Services, Inc.",FALSE,FALSE,no,7/25/2020,08:02.0,124,23
89.187.175.8,North America,United States,Texas,Dallas,America/Chicago,Datacamp Limited,True,True,yes,2020-07-25,16:19:53.423629,161,90
89.187.175.8,North America,United States,Texas,Dallas,America/Chicago,Datacamp Limited,True,True,no,2020-07-25,16:19:57.794195,111,15
162.253.71.246,North America,Canada,Ontario,Toronto,America/Toronto,Total Server Solutions L.L.C.,False,True,yes,2020-07-25,16:20:14.335175,101,44
162.253.71.246,North America,Canada,Ontario,Toronto,America/Toronto,Total Server Solutions L.L.C.,False,True,no,2020-07-25,16:20:16.546392,140,24
162.253.71.246,North America,Canada,Ontario,Toronto,America/Toronto,Total Server Solutions L.L.C.,False,True,no,2020-07-25,16:20:20.454183,134,62
162.253.71.246,North America,Canada,Ontario,Toronto,America/Toronto,Total Server Solutions L.L.C.,False,True,yes,2020-07-25,16:20:22.483626,154,78
162.253.71.246,North America,Canada,Ontario,Toronto,America/Toronto,Total Server Solutions L.L.C.,False,True,yes,2020-07-25,16:20:24.603052,52,96
162.253.71.246,North America,Canada,Ontario,Toronto,America/Toronto,Total Server Solutions L.L.C.,False,True,yes,2020-07-25,16:20:26.815122,137,112
162.253.71.246,North America,Canada,Ontario,Toronto,America/Toronto,Total Server Solutions L.L.C.,False,True,no,2020-07-25,16:20:29.622458,40,88
162.253.71.246,North America,Canada,Ontario,Toronto,America/Toronto,Total Server Solutions L.L.C.,False,True,no,2020-07-25,16:20:32.546205,10,102
